"","B_COUNTRY_ALPHA","Q46","Q49","Q274"
"83","AND",2,8,0
"84","AND",2,6,2
"85","AND",2,7,1
"86","AND",2,8,1
"87","AND",1,10,1
"88","AND",1,10,2
"89","AND",2,8,3
"90","AND",2,10,2
"91","AND",1,10,1
"92","AND",2,10,2
"93","AND",2,6,4
"94","AND",1,6,1
"95","AND",1,9,0
"96","AND",2,9,5
"97","AND",2,9,0
"98","AND",1,9,1
"99","AND",2,6,0
"100","AND",2,8,2
"101","AND",2,8,2
"102","AND",2,8,2
"103","AND",1,10,0
"104","AND",2,8,0
"105","AND",2,6,2
"106","AND",3,8,2
"107","AND",2,9,3
"108","AND",1,9,2
"109","AND",1,10,2
"110","AND",2,7,1
"111","AND",2,10,4
"112","AND",1,10,7
"113","AND",1,8,0
"114","AND",2,10,2
"115","AND",2,9,1
"116","AND",2,9,2
"117","AND",1,10,2
"118","AND",2,10,2
"119","AND",2,10,3
"120","AND",2,10,3
"121","AND",1,10,2
"122","AND",1,10,2
"123","AND",1,10,0
"124","AND",2,9,1
"125","AND",2,5,2
"126","AND",1,10,0
"127","AND",2,6,0
"128","AND",2,5,2
"129","AND",2,4,0
"130","AND",2,8,0
"131","AND",1,7,0
"132","AND",1,8,0
"133","AND",1,9,0
"134","AND",1,8,1
"135","AND",2,3,1
"136","AND",2,7,1
"137","AND",2,NA,1
"138","AND",2,8,0
"139","AND",1,8,1
"140","AND",1,6,2
"141","AND",2,5,0
"142","AND",2,7,0
"143","AND",2,6,1
"144","AND",1,8,0
"145","AND",2,7,0
"146","AND",1,9,0
"147","AND",2,6,0
"148","AND",2,4,0
"149","AND",1,8,1
"150","AND",2,4,0
"151","AND",2,5,0
"152","AND",2,5,1
"153","AND",1,7,4
"154","AND",2,2,0
"155","AND",3,5,0
"156","AND",1,10,1
"157","AND",1,9,1
"158","AND",2,7,0
"159","AND",2,6,1
"160","AND",2,8,1
"161","AND",2,6,0
"162","AND",2,4,2
"163","AND",2,7,0
"164","AND",1,9,1
"165","AND",2,9,1
"166","AND",2,7,0
"167","AND",2,7,1
"168","AND",2,7,1
"169","AND",2,5,1
"170","AND",2,5,0
"171","AND",2,9,0
"172","AND",2,5,1
"173","AND",1,7,1
"174","AND",2,5,0
"175","AND",2,9,2
"176","AND",2,7,2
"177","AND",2,8,3
"178","AND",1,8,1
"179","AND",2,9,2
"180","AND",2,7,1
"181","AND",2,8,2
"182","AND",2,7,0
"183","AND",3,3,2
"184","AND",2,8,1
"185","AND",2,5,4
"186","AND",2,10,3
"187","AND",2,8,0
"188","AND",2,8,2
"189","AND",1,8,1
"190","AND",1,10,1
"191","AND",3,6,0
"192","AND",2,8,2
"193","AND",1,10,1
"194","AND",2,6,4
"195","AND",2,10,1
"196","AND",1,9,0
"197","AND",2,8,0
"198","AND",3,2,5
"199","AND",2,7,2
"200","AND",2,7,1
"201","AND",2,7,0
"202","AND",2,8,4
"203","AND",1,9,2
"204","AND",1,10,5
"205","AND",1,10,0
"206","AND",2,7,2
"207","AND",2,10,1
"208","AND",2,6,0
"209","AND",2,7,1
"210","AND",2,7,1
"211","AND",1,10,1
"212","AND",1,9,0
"213","AND",1,9,2
"214","AND",1,8,2
"215","AND",2,8,0
"216","AND",1,9,0
"217","AND",2,5,0
"218","AND",2,5,1
"219","AND",2,6,2
"220","AND",2,9,2
"221","AND",3,5,0
"222","AND",2,6,2
"223","AND",2,7,1
"224","AND",1,10,2
"225","AND",3,4,2
"226","AND",2,5,0
"227","AND",1,9,0
"228","AND",1,8,5
"229","AND",1,8,4
"230","AND",1,8,0
"231","AND",2,5,2
"232","AND",2,8,0
"233","AND",2,8,1
"234","AND",2,9,0
"235","AND",1,8,4
"236","AND",1,10,2
"237","AND",2,7,2
"238","AND",2,6,2
"239","AND",1,7,1
"240","AND",2,10,2
"241","AND",2,5,0
"242","AND",1,8,0
"243","AND",2,5,2
"244","AND",1,8,0
"245","AND",1,7,2
"246","AND",2,8,2
"247","AND",2,9,1
"248","AND",2,6,2
"249","AND",1,10,1
"250","AND",1,10,1
"251","AND",1,7,0
"252","AND",2,8,3
"253","AND",1,10,1
"254","AND",1,8,1
"255","AND",2,10,2
"256","AND",1,9,2
"257","AND",1,10,0
"258","AND",1,10,0
"259","AND",2,9,2
"260","AND",1,7,2
"261","AND",1,9,0
"262","AND",2,8,2
"263","AND",1,10,0
"264","AND",1,10,3
"265","AND",2,8,2
"266","AND",2,9,1
"267","AND",2,9,2
"268","AND",1,10,0
"269","AND",2,10,3
"270","AND",1,9,0
"271","AND",2,8,2
"272","AND",2,7,1
"273","AND",1,8,2
"274","AND",2,8,0
"275","AND",2,6,0
"276","AND",2,3,0
"277","AND",1,6,2
"278","AND",1,7,2
"279","AND",2,3,1
"280","AND",2,6,1
"281","AND",2,5,1
"282","AND",2,5,1
"283","AND",2,8,2
"284","AND",2,6,1
"285","AND",2,7,0
"286","AND",2,7,2
"287","AND",2,8,0
"288","AND",1,8,1
"289","AND",1,8,1
"290","AND",2,8,5
"291","AND",2,9,1
"292","AND",2,5,2
"293","AND",2,8,1
"294","AND",2,6,1
"295","AND",2,8,0
"296","AND",2,10,0
"297","AND",2,8,2
"298","AND",2,10,1
"299","AND",2,9,2
"300","AND",2,8,0
"301","AND",2,9,0
"302","AND",2,6,1
"303","AND",2,8,3
"304","AND",2,10,2
"305","AND",2,7,0
"306","AND",1,8,4
"307","AND",3,4,1
"308","AND",2,6,2
"309","AND",2,8,2
"310","AND",3,2,2
"311","AND",3,6,2
"312","AND",2,4,2
"313","AND",2,8,0
"314","AND",2,7,2
"315","AND",1,9,0
"316","AND",1,5,0
"317","AND",2,5,0
"318","AND",2,9,0
"319","AND",2,8,3
"320","AND",2,9,0
"321","AND",1,9,1
"322","AND",2,9,1
"323","AND",1,10,1
"324","AND",2,5,2
"325","AND",2,8,0
"326","AND",3,7,0
"327","AND",2,8,1
"328","AND",1,8,2
"329","AND",1,10,1
"330","AND",1,8,0
"331","AND",2,8,2
"332","AND",2,6,1
"333","AND",2,7,2
"334","AND",2,10,1
"335","AND",1,8,2
"336","AND",2,7,0
"337","AND",2,8,1
"338","AND",2,7,3
"339","AND",2,7,1
"340","AND",2,8,1
"341","AND",1,9,0
"342","AND",2,8,1
"343","AND",2,8,3
"344","AND",2,8,2
"345","AND",2,7,1
"346","AND",2,7,3
"347","AND",2,8,1
"348","AND",2,8,0
"349","AND",1,8,2
"350","AND",2,6,3
"351","AND",1,8,2
"352","AND",1,10,3
"353","AND",1,8,0
"354","AND",1,10,0
"355","AND",1,7,4
"356","AND",2,8,1
"357","AND",2,7,0
"358","AND",2,6,2
"359","AND",2,6,1
"360","AND",1,9,2
"361","AND",1,9,0
"362","AND",2,7,1
"363","AND",2,6,0
"364","AND",2,5,1
"365","AND",1,5,1
"366","AND",2,4,1
"367","AND",1,5,2
"368","AND",2,10,1
"369","AND",1,9,2
"370","AND",1,9,1
"371","AND",2,9,3
"372","AND",2,5,1
"373","AND",2,7,0
"374","AND",1,9,0
"375","AND",2,7,0
"376","AND",2,5,1
"377","AND",2,7,0
"378","AND",2,8,1
"379","AND",2,9,0
"380","AND",3,4,1
"381","AND",2,9,2
"382","AND",1,5,2
"383","AND",1,7,0
"384","AND",2,5,0
"385","AND",1,8,2
"386","AND",2,7,3
"387","AND",2,6,0
"388","AND",2,6,1
"389","AND",2,7,1
"390","AND",1,8,1
"391","AND",2,8,0
"392","AND",2,8,2
"393","AND",3,4,0
"394","AND",1,8,3
"395","AND",2,8,0
"396","AND",2,8,0
"397","AND",2,8,1
"398","AND",1,9,2
"399","AND",1,9,2
"400","AND",1,10,0
"401","AND",2,6,0
"402","AND",2,7,0
"403","AND",2,7,1
"404","AND",2,7,1
"405","AND",1,10,0
"406","AND",2,7,1
"407","AND",2,7,1
"408","AND",1,8,0
"409","AND",1,9,0
"410","AND",2,7,2
"411","AND",1,7,0
"412","AND",2,6,0
"413","AND",2,8,1
"414","AND",1,8,2
"415","AND",1,8,1
"416","AND",2,8,2
"417","AND",1,10,0
"418","AND",2,8,0
"419","AND",2,6,1
"420","AND",2,7,0
"421","AND",2,6,2
"422","AND",2,8,0
"423","AND",2,7,1
"424","AND",1,7,0
"425","AND",2,3,0
"426","AND",1,9,0
"427","AND",1,8,0
"428","AND",2,6,0
"429","AND",2,9,2
"430","AND",2,6,0
"431","AND",2,7,2
"432","AND",2,8,1
"433","AND",2,8,0
"434","AND",2,6,2
"435","AND",1,5,2
"436","AND",2,7,1
"437","AND",1,5,2
"438","AND",1,4,0
"439","AND",1,4,0
"440","AND",2,3,2
"441","AND",2,4,1
"442","AND",1,4,0
"443","AND",2,4,2
"444","AND",3,4,3
"445","AND",2,7,1
"446","AND",2,6,1
"447","AND",1,8,0
"448","AND",2,9,1
"449","AND",1,8,0
"450","AND",2,7,3
"451","AND",2,4,2
"452","AND",1,6,1
"453","AND",2,6,0
"454","AND",2,4,1
"455","AND",1,7,0
"456","AND",2,7,2
"457","AND",2,6,2
"458","AND",1,8,3
"459","AND",2,9,0
"460","AND",2,8,2
"461","AND",2,5,2
"462","AND",1,8,3
"463","AND",2,8,1
"464","AND",1,7,2
"465","AND",3,8,1
"466","AND",1,10,1
"467","AND",2,8,0
"468","AND",1,8,1
"469","AND",1,8,0
"470","AND",2,7,0
"471","AND",2,7,0
"472","AND",2,7,0
"473","AND",1,8,0
"474","AND",2,8,2
"475","AND",2,9,3
"476","AND",1,9,0
"477","AND",2,10,1
"478","AND",2,7,1
"479","AND",2,8,2
"480","AND",2,8,1
"481","AND",2,6,3
"482","AND",2,6,0
"483","AND",1,10,0
"484","AND",1,10,0
"485","AND",2,7,2
"486","AND",2,8,0
"487","AND",2,6,1
"488","AND",1,9,2
"489","AND",1,9,3
"490","AND",2,5,3
"491","AND",1,8,1
"492","AND",1,7,6
"493","AND",1,9,1
"494","AND",1,9,0
"495","AND",1,9,2
"496","AND",2,7,2
"497","AND",1,8,1
"498","AND",1,8,1
"499","AND",2,7,0
"500","AND",1,9,0
"501","AND",1,7,1
"502","AND",1,NA,2
"503","AND",2,7,1
"504","AND",2,10,2
"505","AND",2,7,0
"506","AND",1,8,1
"507","AND",3,5,0
"508","AND",2,3,0
"509","AND",2,7,1
"510","AND",2,6,2
"511","AND",2,6,0
"512","AND",1,7,2
"513","AND",2,4,0
"514","AND",2,7,0
"515","AND",2,6,1
"516","AND",1,8,2
"517","AND",2,8,0
"518","AND",1,8,2
"519","AND",1,10,0
"520","AND",2,7,0
"521","AND",1,6,0
"522","AND",2,7,2
"523","AND",2,7,1
"524","AND",1,10,1
"525","AND",2,8,0
"526","AND",1,10,2
"527","AND",1,5,1
"528","AND",2,8,0
"529","AND",2,8,3
"530","AND",2,8,2
"531","AND",1,7,2
"532","AND",1,8,2
"533","AND",1,10,0
"534","AND",1,6,2
"535","AND",2,6,2
"536","AND",1,8,3
"537","AND",3,5,3
"538","AND",2,6,2
"539","AND",2,5,3
"540","AND",1,10,0
"541","AND",3,7,1
"542","AND",2,7,2
"543","AND",1,8,0
"544","AND",1,10,1
"545","AND",1,10,1
"546","AND",1,8,1
"547","AND",3,8,1
"548","AND",1,10,1
"549","AND",1,10,0
"550","AND",1,8,2
"551","AND",2,10,2
"552","AND",1,10,0
"553","AND",1,10,0
"554","AND",2,8,2
"555","AND",2,7,0
"556","AND",1,8,7
"557","AND",2,10,2
"558","AND",1,10,2
"559","AND",2,6,2
"560","AND",2,5,2
"561","AND",2,9,1
"562","AND",1,9,1
"563","AND",1,8,2
"564","AND",2,7,1
"565","AND",2,6,2
"566","AND",2,6,0
"567","AND",2,7,0
"568","AND",2,6,0
"569","AND",2,7,3
"570","AND",1,5,2
"571","AND",1,8,0
"572","AND",2,6,1
"573","AND",2,5,1
"574","AND",2,7,1
"575","AND",2,6,0
"576","AND",2,6,1
"577","AND",3,5,0
"578","AND",2,3,2
"579","AND",3,4,3
"580","AND",2,7,2
"581","AND",2,7,1
"582","AND",3,7,0
"583","AND",2,7,2
"584","AND",3,8,1
"585","AND",2,6,0
"586","AND",2,7,1
"587","AND",2,8,0
"588","AND",2,3,3
"589","AND",2,9,0
"590","AND",2,7,0
"591","AND",2,8,0
"592","AND",1,8,1
"593","AND",2,7,0
"594","AND",2,6,0
"595","AND",2,8,0
"596","AND",2,7,1
"597","AND",2,7,2
"598","AND",1,9,0
"599","AND",1,9,2
"600","AND",1,9,0
"601","AND",2,8,5
"602","AND",1,8,0
"603","AND",1,9,0
"604","AND",1,8,0
"605","AND",1,8,0
"606","AND",1,9,3
"607","AND",2,9,2
"608","AND",2,8,1
"609","AND",2,8,2
"610","AND",1,7,1
"611","AND",2,5,2
"612","AND",2,8,2
"613","AND",2,7,1
"614","AND",2,6,2
"615","AND",2,6,1
"616","AND",1,8,0
"617","AND",4,7,2
"618","AND",2,7,2
"619","AND",1,8,1
"620","AND",2,6,3
"621","AND",1,8,2
"622","AND",1,9,1
"623","AND",1,10,2
"624","AND",2,9,1
"625","AND",1,8,1
"626","AND",1,7,0
"627","AND",1,8,2
"628","AND",2,7,1
"629","AND",2,6,0
"630","AND",2,7,1
"631","AND",1,8,1
"632","AND",2,10,2
"633","AND",1,9,2
"634","AND",1,9,2
"635","AND",1,9,3
"636","AND",1,7,1
"637","AND",2,10,2
"638","AND",2,7,1
"639","AND",2,7,1
"640","AND",1,8,1
"641","AND",1,8,2
"642","AND",1,10,4
"643","AND",1,10,2
"644","AND",3,6,0
"645","AND",2,7,1
"646","AND",3,7,1
"647","AND",1,10,3
"648","AND",2,8,0
"649","AND",1,8,2
"650","AND",2,7,1
"651","AND",1,10,1
"652","AND",1,10,6
"653","AND",2,8,2
"654","AND",2,9,0
"655","AND",2,8,0
"656","AND",1,6,0
"657","AND",1,8,0
"658","AND",2,8,0
"659","AND",2,8,0
"660","AND",1,9,0
"661","AND",2,7,0
"662","AND",1,7,0
"663","AND",2,6,0
"664","AND",2,8,0
"665","AND",1,7,0
"666","AND",2,6,0
"667","AND",2,8,0
"668","AND",2,7,0
"669","AND",2,6,2
"670","AND",2,6,0
"671","AND",3,7,1
"672","AND",3,5,0
"673","AND",3,3,1
"674","AND",3,4,5
"675","AND",2,6,3
"676","AND",1,8,0
"677","AND",2,8,0
"678","AND",2,9,0
"679","AND",2,10,2
"680","AND",2,7,1
"681","AND",1,10,2
"682","AND",1,8,0
"683","AND",2,5,1
"684","AND",2,6,0
"685","AND",2,7,1
"686","AND",1,7,1
"687","AND",2,6,0
"688","AND",2,6,1
"689","AND",1,7,4
"690","AND",2,7,0
"691","AND",2,7,1
"692","AND",2,7,0
"693","AND",2,7,1
"694","AND",2,5,0
"695","AND",2,8,0
"696","AND",2,8,0
"697","AND",2,7,0
"698","AND",2,7,1
"699","AND",1,10,2
"700","AND",2,7,0
"701","AND",1,8,0
"702","AND",2,8,0
"703","AND",1,8,0
"704","AND",1,8,0
"705","AND",1,8,2
"706","AND",2,8,2
"707","AND",1,9,2
"708","AND",2,7,0
"709","AND",3,2,3
"710","AND",2,6,0
"711","AND",2,8,3
"712","AND",1,8,0
"713","AND",2,7,1
"714","AND",1,4,3
"715","AND",1,7,0
"716","AND",2,6,0
"717","AND",2,8,3
"718","AND",2,7,0
"719","AND",2,8,1
"720","AND",1,7,3
"721","AND",2,7,2
"722","AND",2,7,3
"723","AND",2,8,2
"724","AND",2,7,0
"725","AND",1,10,2
"726","AND",2,8,2
"727","AND",2,8,4
"728","AND",1,10,3
"729","AND",1,8,2
"730","AND",2,5,0
"731","AND",1,10,2
"732","AND",1,8,0
"733","AND",1,10,4
"734","AND",1,9,1
"735","AND",1,9,2
"736","AND",2,6,2
"737","AND",2,9,2
"738","AND",2,6,1
"739","AND",2,8,3
"740","AND",2,10,1
"741","AND",2,8,0
"742","AND",2,4,0
"743","AND",1,9,1
"744","AND",2,8,2
"745","AND",2,7,3
"746","AND",2,6,2
"747","AND",2,9,2
"748","AND",2,4,2
"749","AND",3,6,0
"750","AND",1,10,2
"751","AND",2,6,2
"752","AND",1,10,2
"753","AND",1,8,1
"754","AND",2,9,2
"755","AND",2,5,0
"756","AND",1,8,0
"757","AND",2,6,0
"758","AND",2,8,0
"759","AND",1,8,1
"760","AND",1,10,1
"761","AND",1,10,1
"762","AND",2,8,1
"763","AND",2,7,0
"764","AND",1,7,0
"765","AND",2,5,1
"766","AND",2,7,2
"767","AND",2,7,0
"768","AND",1,10,0
"769","AND",1,10,0
"770","AND",3,4,2
"771","AND",1,9,1
"772","AND",3,8,0
"773","AND",2,8,0
"774","AND",1,5,0
"775","AND",2,7,1
"776","AND",2,8,4
"777","AND",2,8,0
"778","AND",2,5,2
"779","AND",1,10,0
"780","AND",1,7,0
"781","AND",1,9,0
"782","AND",2,6,1
"783","AND",2,8,1
"784","AND",2,10,0
"785","AND",1,8,1
"786","AND",2,7,2
"787","AND",1,8,2
"788","AND",2,8,2
"789","AND",2,7,3
"790","AND",2,9,3
"791","AND",2,9,2
"792","AND",1,8,1
"793","AND",2,7,2
"794","AND",2,7,2
"795","AND",2,8,0
"796","AND",2,6,0
"797","AND",2,8,0
"798","AND",1,8,0
"799","AND",1,10,0
"800","AND",1,8,2
"801","AND",2,8,3
"802","AND",1,7,2
"803","AND",2,7,0
"804","AND",1,10,0
"805","AND",1,9,1
"806","AND",2,7,0
"807","AND",2,6,2
"808","AND",2,7,2
"809","AND",2,8,0
"810","AND",2,8,3
"811","AND",2,5,5
"812","AND",1,9,2
"813","AND",1,10,0
"814","AND",1,8,1
"815","AND",2,6,2
"816","AND",1,8,1
"817","AND",2,8,2
"818","AND",2,5,3
"819","AND",2,6,2
"820","AND",2,8,2
"821","AND",2,7,1
"822","AND",2,7,0
"823","AND",2,7,1
"824","AND",2,7,0
"825","AND",2,8,0
"826","AND",2,7,1
"827","AND",2,8,0
"828","AND",2,7,1
"829","AND",2,8,1
"830","AND",2,8,0
"831","AND",2,9,0
"832","AND",2,8,1
"833","AND",1,8,1
"834","AND",2,8,1
"835","AND",1,8,2
"836","AND",2,7,1
"837","AND",2,8,0
"838","AND",2,7,0
"839","AND",2,7,3
"840","AND",2,7,1
"841","AND",2,9,0
"842","AND",2,9,2
"843","AND",2,7,3
"844","AND",1,8,2
"845","AND",1,7,2
"846","AND",3,7,0
"847","AND",2,8,1
"848","AND",2,8,0
"849","AND",2,7,2
"850","AND",1,9,0
"851","AND",2,8,0
"852","AND",3,7,2
"853","AND",2,10,2
"854","AND",1,8,2
"855","AND",2,8,2
"856","AND",2,8,2
"857","AND",1,9,0
"858","AND",2,7,1
"859","AND",1,8,2
"860","AND",1,8,2
"861","AND",2,8,0
"862","AND",1,9,1
"863","AND",2,7,0
"864","AND",2,7,2
"865","AND",1,8,0
"866","AND",2,8,2
"867","AND",1,9,0
"868","AND",1,8,0
"869","AND",1,10,3
"870","AND",2,8,2
"871","AND",2,9,0
"872","AND",2,8,0
"873","AND",2,7,0
"874","AND",1,8,3
"875","AND",2,8,1
"876","AND",1,8,1
"877","AND",2,7,1
"878","AND",2,8,2
"879","AND",2,9,1
"880","AND",2,8,2
"881","AND",2,4,0
"882","AND",2,10,2
"883","AND",2,8,2
"884","AND",2,8,1
"885","AND",1,8,2
"886","AND",2,8,1
"887","AND",2,10,2
"888","AND",1,9,0
"889","AND",1,9,1
"890","AND",1,9,0
"891","AND",1,9,0
"892","AND",2,8,0
"893","AND",2,10,2
"894","AND",2,9,2
"895","AND",1,10,3
"896","AND",2,5,2
"897","AND",1,3,1
"898","AND",3,8,2
"899","AND",2,8,0
"900","AND",2,8,2
"901","AND",1,9,1
"902","AND",2,10,1
"903","AND",2,10,3
"904","AND",2,9,1
"905","AND",1,10,2
"906","AND",1,8,3
"907","AND",1,8,3
"908","AND",1,10,0
"909","AND",1,10,2
"910","AND",2,8,0
"911","AND",2,5,0
"912","AND",1,10,2
"913","AND",1,7,0
"914","AND",2,6,1
"915","AND",1,9,2
"916","AND",1,9,2
"917","AND",1,8,2
"918","AND",2,7,4
"919","AND",1,8,1
"920","AND",1,9,2
"921","AND",2,10,3
"922","AND",2,8,2
"923","AND",2,7,2
"924","AND",2,7,2
"925","AND",2,7,2
"926","AND",2,8,3
"927","AND",2,7,0
"928","AND",1,10,3
"929","AND",2,8,0
"930","AND",2,7,0
"931","AND",2,9,0
"932","AND",2,6,2
"933","AND",2,8,0
"934","AND",1,8,2
"935","AND",1,5,2
"936","AND",2,10,1
"937","AND",2,8,2
"938","AND",2,10,1
"939","AND",1,8,3
"940","AND",2,8,2
"941","AND",3,7,1
"942","AND",2,8,2
"943","AND",1,10,1
"944","AND",2,7,3
"945","AND",1,9,0
"946","AND",2,7,2
"947","AND",1,7,5
"948","AND",2,8,2
"949","AND",3,8,3
"950","AND",1,8,1
"951","AND",1,8,2
"952","AND",1,8,0
"953","AND",2,8,2
"954","AND",2,8,3
"955","AND",2,9,4
"956","AND",1,9,0
"957","AND",1,8,2
"958","AND",1,9,0
"959","AND",2,8,0
"960","AND",1,8,0
"961","AND",2,7,1
"962","AND",2,6,2
"963","AND",1,9,0
"964","AND",2,8,3
"965","AND",2,8,1
"966","AND",2,8,2
"967","AND",2,7,2
"968","AND",2,7,3
"969","AND",1,8,0
"970","AND",1,10,0
"971","AND",2,7,3
"972","AND",1,5,2
"973","AND",2,7,0
"974","AND",2,7,4
"975","AND",2,5,1
"976","AND",1,5,1
"977","AND",1,8,1
"978","AND",2,6,2
"979","AND",2,5,1
"980","AND",2,7,1
"981","AND",2,7,2
"982","AND",2,5,2
"983","AND",2,7,1
"984","AND",2,6,0
"985","AND",2,8,0
"986","AND",2,5,3
"987","AND",1,5,0
"988","AND",2,7,1
"989","AND",2,8,2
"990","AND",4,3,0
"991","AND",3,7,2
"992","AND",2,7,0
"993","AND",2,6,1
"994","AND",2,7,1
"995","AND",1,7,0
"996","AND",1,9,1
"997","AND",1,8,2
"998","AND",1,8,0
"999","AND",2,8,2
"1000","AND",2,7,0
"1001","AND",2,7,1
"1002","AND",1,10,3
"1003","AND",2,3,4
"1004","AND",1,9,1
"1005","ARG",2,6,NA
"1006","ARG",2,7,0
"1007","ARG",NA,10,0
"1008","ARG",1,10,1
"1009","ARG",1,9,1
"1010","ARG",3,8,6
"1011","ARG",3,3,1
"1012","ARG",3,5,2
"1013","ARG",2,10,2
"1014","ARG",1,8,2
"1015","ARG",2,8,2
"1016","ARG",2,7,1
"1017","ARG",2,7,1
"1018","ARG",2,6,4
"1019","ARG",3,6,2
"1020","ARG",2,5,2
"1021","ARG",2,8,3
"1022","ARG",2,7,2
"1023","ARG",2,7,1
"1024","ARG",1,9,2
"1025","ARG",2,8,2
"1026","ARG",1,10,1
"1027","ARG",1,10,2
"1028","ARG",3,5,3
"1029","ARG",2,8,1
"1030","ARG",1,7,2
"1031","ARG",2,10,2
"1032","ARG",1,7,2
"1033","ARG",2,7,1
"1034","ARG",1,8,3
"1035","ARG",1,10,2
"1036","ARG",NA,3,2
"1037","ARG",2,7,2
"1038","ARG",3,7,2
"1039","ARG",2,5,2
"1040","ARG",2,6,3
"1041","ARG",1,10,2
"1042","ARG",1,9,4
"1043","ARG",2,8,1
"1044","ARG",2,6,1
"1045","ARG",1,9,1
"1046","ARG",2,6,1
"1047","ARG",3,6,3
"1048","ARG",2,7,1
"1049","ARG",2,10,2
"1050","ARG",1,8,2
"1051","ARG",2,8,4
"1052","ARG",2,8,1
"1053","ARG",2,9,1
"1054","ARG",1,6,3
"1055","ARG",3,9,2
"1056","ARG",1,5,2
"1057","ARG",2,7,1
"1058","ARG",2,6,2
"1059","ARG",1,9,1
"1060","ARG",1,10,0
"1061","ARG",2,7,1
"1062","ARG",1,8,4
"1063","ARG",2,7,2
"1064","ARG",2,7,2
"1065","ARG",1,10,1
"1066","ARG",1,10,1
"1067","ARG",2,10,1
"1068","ARG",2,10,0
"1069","ARG",2,7,0
"1070","ARG",2,5,1
"1071","ARG",2,7,NA
"1072","ARG",2,9,3
"1073","ARG",2,7,0
"1074","ARG",3,5,NA
"1075","ARG",2,10,0
"1076","ARG",2,7,0
"1077","ARG",3,6,NA
"1078","ARG",2,7,0
"1079","ARG",2,8,1
"1080","ARG",2,10,NA
"1081","ARG",2,10,2
"1082","ARG",1,10,0
"1083","ARG",2,8,2
"1084","ARG",2,10,0
"1085","ARG",NA,8,NA
"1086","ARG",2,8,3
"1087","ARG",2,10,0
"1088","ARG",2,6,NA
"1089","ARG",2,8,0
"1090","ARG",2,7,4
"1091","ARG",1,8,4
"1092","ARG",2,9,0
"1093","ARG",1,8,1
"1094","ARG",2,9,2
"1095","ARG",2,9,NA
"1096","ARG",2,9,0
"1097","ARG",2,9,1
"1098","ARG",2,9,1
"1099","ARG",2,8,4
"1100","ARG",2,6,NA
"1101","ARG",1,8,1
"1102","ARG",2,8,1
"1103","ARG",2,8,0
"1104","ARG",1,8,0
"1105","ARG",3,6,3
"1106","ARG",2,7,0
"1107","ARG",2,8,2
"1108","ARG",NA,7,NA
"1109","ARG",2,8,1
"1110","ARG",2,8,0
"1111","ARG",2,9,1
"1112","ARG",2,9,NA
"1113","ARG",2,8,3
"1114","ARG",2,7,0
"1115","ARG",2,8,2
"1116","ARG",2,7,0
"1117","ARG",2,5,0
"1118","ARG",2,7,0
"1119","ARG",2,5,3
"1120","ARG",2,8,2
"1121","ARG",2,7,3
"1122","ARG",3,8,1
"1123","ARG",2,7,1
"1124","ARG",2,8,1
"1125","ARG",2,6,NA
"1126","ARG",2,7,2
"1127","ARG",2,8,NA
"1128","ARG",2,8,2
"1129","ARG",2,8,2
"1130","ARG",1,10,0
"1131","ARG",2,9,1
"1132","ARG",2,9,2
"1133","ARG",2,10,NA
"1134","ARG",1,9,4
"1135","ARG",2,8,0
"1136","ARG",1,8,0
"1137","ARG",2,8,1
